Match_ID,Time,RHero1,RHero2,RHero3,RHero4,RHero5,DHero1,DHero2,DHero3,DHero4,DHero5,mmr,Rwin
5771045612, 2021-01-03 22:19:35, 2,112,27,44,106, 100,29,12,84,11, 4887, True
5771045118, 2021-01-03 22:19:00, 37,129,1,88,5, 14,32,11,23,30, 4005, False
5771045004, 2021-01-03 22:18:51, 129,42,84,36,88, 86,57,92,32,81, 4154, False
5771044819, 2021-01-03 22:18:39, 2,8,77,85,72, 67,91,29,87,32, 4689, False
5771044706, 2021-01-03 22:18:30, 104,123,121,96,42, 1,60,21,94,7, 4026, True
5771044419, 2021-01-03 22:18:10, 99,71,81,123,86, 17,60,54,5,25, 4041, True
5771044416, 2021-01-03 22:18:10, 36,49,70,7,68, 17,107,32,13,128, 4341, False
5771044311, 2021-01-03 22:17:59, 8,30,101,33,9, 86,44,104,20,83, 4035, True
5771044300, 2021-01-03 22:18:00, 39,93,14,26,95, 114,71,64,10,98, 5003, True
5771044214, 2021-01-03 22:17:40, 114,47,35,95,62, 53,67,17,14,79, 4505, True
5771044007, 2021-01-03 22:17:40, 107,128,84,21,114, 111,11,99,9,12, 4574, True
5771044005, 2021-01-03 22:17:40, 2,1,74,123,26, 93,32,39,87,63, 5590, False
5771044001, 2021-01-03 22:17:35, 65,109,52,88,100, 110,60,93,111,74, 6021, False
5771043813, 2021-01-03 22:17:26, 85,10,84,45,32, 86,62,58,114,11, 4830, True
5771043502, 2021-01-03 22:17:09, 53,129,109,71,114, 104,64,101,70,107, 4063, False
5771043305, 2021-01-03 22:16:51, 88,8,123,9,83, 90,64,99,52,93, 4004, False
5771043200, 2021-01-03 22:16:46, 93,129,101,17,33, 114,21,110,57,123, 4449, False
5771043115, 2021-01-03 22:16:40, 96,27,43,3,9, 70,4,52,90,51, 7772, True
5771043014, 2021-01-03 22:16:30, 96,67,84,13,101, 9,14,100,114,39, 4011, True
5771042009, 2021-01-03 22:15:25, 20,97,108,31,32, 42,77,34,68,27, 5891, True
5771041803, 2021-01-03 22:15:09, 42,21,77,9,121, 46,14,10,50,86, 4328, True
5771041700, 2021-01-03 22:14:59, 30,44,5,34,120, 129,90,26,67,110, 4730, False
5771041500, 2021-01-03 22:14:44, 109,84,74,86,30, 19,13,17,55,10, 5510, False
5771041117, 2021-01-03 22:14:14, 72,47,98,67,30, 110,44,111,51,39, 4231, True
5771041018, 2021-01-03 22:14:09, 84,128,8,98,108, 34,101,2,32,30, 4136, True
5771040705, 2021-01-03 22:13:46, 2,35,86,41,26, 84,93,99,74,17, 4348, False
5771040611, 2021-01-03 22:13:45, 45,37,44,38,21, 114,103,97,120,88, 4074, False
5771040506, 2021-01-03 22:13:34, 126,37,57,99,93, 26,17,114,3,123, 4080, True
5771040418, 2021-01-03 22:13:19, 68,81,39,70,5, 88,13,108,114,111, 4349, True
5771040111, 2021-01-03 22:13:04, 114,99,5,34,71, 86,129,6,51,11, 4138, True
5771039807, 2021-01-03 22:12:51, 98,79,109,86,106, 51,65,63,52,84, 6511, True
5771039514, 2021-01-03 22:12:20, 38,14,86,44,83, 69,52,10,27,121, 4229, True
